# Minecraft 26.2 normal village buildings. SHA-256 of original compressed resource.
# id|sha256|role. Metadata only; vanilla block layouts are loaded from the installed game.
minecraft:village/plains/houses/plains_tool_smith_1|ac7223fc761890317732891635a50a4fdb5091d2275079e01c552fb35c06736e|craft
minecraft:village/plains/houses/plains_weaponsmith_1|e82f7f263a930c44a8c6bf0916fa9aab7678ed5155fed2dcbd12fb74daac9eb8|craft
minecraft:village/savanna/houses/savanna_animal_pen_1|392892709222427deeb9e4e59655e5eb2376116f5a5185f1f9200c1bbfd0c21f|food
minecraft:village/savanna/houses/savanna_animal_pen_2|97ff64dbc26c3075a927d1073330475a324bdc8dddb94ecb5502b112bf6e7400|food
minecraft:village/savanna/houses/savanna_animal_pen_3|087feb4314482a2ccb7a4251e1903795958b79193448127268039b6c368559c0|food
minecraft:village/savanna/houses/savanna_armorer_1|f236dcdb51894202d0493e4c5fabd83908a903ada9ad6e36f31aa091f7ec42b5|craft
minecraft:village/savanna/houses/savanna_butchers_shop_1|123448ef8a9d6e20637a2319cce8a4d3c37134b0a0d70da80f4ae29a0bf112fc|food
minecraft:village/savanna/houses/savanna_butchers_shop_2|5b6849a99b1f419e99d0356a6f0c84db0f75bdd91d0ec4eb584aa6c62132734f|food
minecraft:village/savanna/houses/savanna_cartographer_1|9b94010b22a70fe72a411675abc19524b316b549f183f629cbb10b012d0b2c72|trade
minecraft:village/savanna/houses/savanna_fisher_cottage_1|141c0e309278fbac879a07d146f615a2095cd86c1a3a2e74c8ae93bca491432b|food
minecraft:village/savanna/houses/savanna_fletcher_house_1|38e8c8d8dd50e11ad8c410cd3a3c6eeeb481f8b9d5f106d4021ddac520efdf18|trade
minecraft:village/savanna/houses/savanna_large_farm_1|40df570d07e85dccff8d487640523c868882e68a703af8da7c610b9e2d010215|food
minecraft:village/savanna/houses/savanna_large_farm_2|846ffa9e891d6cf681dd8b176bb0ae7ff98e06e8ef0083a6cbe3899dfc35b629|food
minecraft:village/savanna/houses/savanna_library_1|f557b8d3acef88066f2fa57c6c5aaa56fee984ad0896dd6aea3c3aa0c1d015b3|trade
minecraft:village/savanna/houses/savanna_mason_1|ade39ec77204d8a495c4ee6e11556fe496a131ff822537210eb92dfc9ddd6f3e|craft
minecraft:village/savanna/houses/savanna_medium_house_1|4e56fb42a367f621d510b5278d865fad4d3c7f2b082a896f8643fb40c896026b|residence
minecraft:village/savanna/houses/savanna_medium_house_2|3f379474fafea7abc48c52aaf6671e952ecfddb3f09044f888bc057b6da3301f|residence
minecraft:village/savanna/houses/savanna_shepherd_1|b3779fb9ec64b1a813934419b852ad8c5cfabec44901cbc04d94bf4aff747853|food
minecraft:village/savanna/houses/savanna_small_farm|a430e6e683112d06cce0e69630b9e40255849cdea5e81ddbecc77731d5c199d3|food
minecraft:village/savanna/houses/savanna_small_house_1|6da73dca6624abfb6098cbc581a2f1a30b543998352cf234ce322fc3261946ef|residence
minecraft:village/savanna/houses/savanna_small_house_2|e03a9df132fb82f8b109fdff7140f555c18a62c81f1421cea6862d7fda0ed795|residence
minecraft:village/savanna/houses/savanna_small_house_3|f1a131ee482f5550c7aa938dc76e0f10612c2b9e97caebde6529e41e8a58ae02|residence
minecraft:village/savanna/houses/savanna_small_house_4|bbe34f19afd1bb7897934358d0b66fcdbe33b6bdd80b51ff2641999c0fc5160f|residence
minecraft:village/savanna/houses/savanna_small_house_5|6224a6514971953d8df7003ef94aebfb4794de2db2a3593e38b6d19d12827b68|residence
minecraft:village/savanna/houses/savanna_small_house_6|fdb0fc280945e73bfe72a3cefa2047dbe9a55f2e5ccdcce8aecb2e75553b6b6c|residence
minecraft:village/savanna/houses/savanna_small_house_7|2250fb2c7864bdc95af6041c45ba1da44be9dccf478e25b012a0078b3b643854|residence
minecraft:village/savanna/houses/savanna_small_house_8|a617dbb371fafd20ce9a0c1dd078e76e8c42cc456b9512cd056a0bbb591aa5ef|residence
minecraft:village/savanna/houses/savanna_tannery_1|f644f8848dfabfa2be803e1925bbc7e8f9e6148ff40cdd5adf2aec330ee258b1|trade
minecraft:village/savanna/houses/savanna_temple_1|15ba2aabfb3f8c298ad928a07bcfd46e02e5303b9b9e07b2a603d35d86db0745|civic
minecraft:village/savanna/houses/savanna_temple_2|8e711017d8aa71a8c4de4427ea11daab73f32f553d78923f88ad1a1e723fb405|civic
minecraft:village/savanna/houses/savanna_tool_smith_1|3687819ab50e880845eaef79b25429680d11057b86d009dd0e16169b8fece9c2|craft
minecraft:village/savanna/houses/savanna_weaponsmith_1|948e730712efdf588e9ac3394b2676a90162fe40dc82986b63d1a3aa46ef04e8|craft
minecraft:village/savanna/houses/savanna_weaponsmith_2|8dbdb987025f419b926776af88d08ef06d02fd610ab727f237a6f4dd7dc3aa8b|craft
minecraft:village/snowy/houses/snowy_animal_pen_1|4777c9e3619338b21645b094672cafaf1772e684a6282f07a78b19ecc555cb3e|food
minecraft:village/snowy/houses/snowy_animal_pen_2|e7b7027c2ce47dfdb218497feb3cb8a26792518dd45e57a11055d7e7c74fa555|food
minecraft:village/snowy/houses/snowy_armorer_house_1|a9cffc353058967a058780d93c8060b7e1f1fcc01aeea64823964001a0c73969|craft
minecraft:village/snowy/houses/snowy_armorer_house_2|009407b77d57aeb11004201c1712ce7efab5aa3bebc762dafd614b4bda4aa2de|craft
minecraft:village/snowy/houses/snowy_butchers_shop_1|36f3f61f7847217c0ad5fb2f368f6db202dc392b5ff96d3b5969d83aaebca792|food
minecraft:village/snowy/houses/snowy_butchers_shop_2|f375de0a60e6fafc1ef403ddd347a2355ad6af77358a173d37513fdcf87f23ab|food
minecraft:village/snowy/houses/snowy_cartographer_house_1|5a96000fdc7b110191ecb9efd71b301b24a4367dcd2ad845d643f2b326583fb0|trade
minecraft:village/snowy/houses/snowy_farm_1|9ad086b48e3815177aec2d090699bc77a2cd480ac908b1120afbb451704b83d3|food
minecraft:village/snowy/houses/snowy_farm_2|14a6039f1caaf2c66e5a0427a6c9d3075df4867705502dee97a77e2879d49e81|food
minecraft:village/snowy/houses/snowy_fisher_cottage|ba764db298de434b912ec959ca67fbe8eb92b6e9dfa8d65c6b91c5ddfa66883b|food
minecraft:village/snowy/houses/snowy_fletcher_house_1|4dbe988a7320fc3c3ec6c0c3dcbed152b6a732aa7bf8c1f6f087ad26647b9a30|trade
minecraft:village/snowy/houses/snowy_library_1|7d124becee90c9db6c81cbcf23aa744b402da55ebc230b9944768b6a2e797775|trade
minecraft:village/snowy/houses/snowy_masons_house_1|949aea578fb501c3f608f362cec8ad65c6c3a44bba7add7c55301242e166b388|craft
minecraft:village/snowy/houses/snowy_masons_house_2|d9d1037ea763effa8e6bda4daefed3f1034aa0a738b0092c771c8f6b29672c94|craft
minecraft:village/snowy/houses/snowy_medium_house_1|80b8a0c7e0ca92034b21f3f370f3c71f0636b47e5eeaae4c7c1475a1f3472cc9|residence
minecraft:village/snowy/houses/snowy_medium_house_2|80879dfcee128b8e662fc909f5310860fa9e9a4bac6c37d4e51236181d0365f1|residence
minecraft:village/snowy/houses/snowy_medium_house_3|e8da0a0c00ce848e9bbfc9191da21085b67822db1b6ba002af24ed98482d4063|residence
minecraft:village/snowy/houses/snowy_shepherds_house_1|4163b11c77e4cdb1f3aaae11f7f524d490deb16d27674b0cab517c8227aeed40|food
minecraft:village/snowy/houses/snowy_small_house_1|e1ca79af780ab7bfd68a79b23b233d35cce9fe4af921d631f83baebda3e49746|residence
minecraft:village/snowy/houses/snowy_small_house_2|c88d49588d5893dbc18e006c3b66b1e8f6fc02f99f8660d0b98d216e0c58a84d|residence
minecraft:village/snowy/houses/snowy_small_house_3|f378278383f0525483ba3812d0a8f37c0b3b70c1b96f9b4ae54a54872136caa1|residence
minecraft:village/snowy/houses/snowy_small_house_4|924493e71c29ff694b823f9291eb9632e89cd332cda638cba819875eec62a337|residence
minecraft:village/snowy/houses/snowy_small_house_5|28207ede380706a11721a7007f5cfd8d6ecad3690d06c32e377654390a29511c|residence
minecraft:village/snowy/houses/snowy_small_house_6|2e1cac2f5a094d1ea6f6c602a8f2c595da0625bfd4568b8aa7fa72bea90eb1f8|residence
minecraft:village/snowy/houses/snowy_small_house_7|bf1e1fd2b2cc2b3cecdafe7e43330459a8bacfbc266aa4f34c1301bdb6beefb3|residence
minecraft:village/snowy/houses/snowy_small_house_8|5f4b82f81868813cdeed006456fcf0e8112327099e52cd16148d51a93f1e1c80|residence
minecraft:village/snowy/houses/snowy_tannery_1|e069aa7b3d3528c3505a02c5ccd78ef8a1535459b56d7af72f0b639dd97d940b|trade
minecraft:village/snowy/houses/snowy_temple_1|ae8651272906036015bc417ddc7111bee375220be20ec98e16825be1b6a61ce6|civic
minecraft:village/snowy/houses/snowy_tool_smith_1|d312a332a08a6354d2fac95efe1083c40882b581a00990b06276fbedb759ce59|craft
minecraft:village/snowy/houses/snowy_weapon_smith_1|c4c36225952462da52aaedbd87d6087a039d4e4b7c14fb2eb3d937ce2b6e3dbd|craft
minecraft:village/taiga/houses/taiga_animal_pen_1|cabc0966cc18dfde4dce5979c44c9a96f814eb5d4411b5b3d046e58bd8053b9d|food
minecraft:village/taiga/houses/taiga_armorer_2|336a5988a4e7bc9cb0f1add89572fe09be295d6c22cd9dc1b4badbfc7cab779f|craft
minecraft:village/taiga/houses/taiga_armorer_house_1|bb6a3b95f7696eb5970a4d84e6f42b44e8eebfa5e9777df7c91705b7545a5e3d|craft
minecraft:village/taiga/houses/taiga_butcher_shop_1|e20d4ccc973b66827e4338c6a753a96b8662f5e3376a7ab7d9f2c478fcb6277f|food
minecraft:village/taiga/houses/taiga_cartographer_house_1|a5203bdb2ccda6e33ecce2dbb35a49f3867d6f5c4643a18252b631b66d434ea7|trade
minecraft:village/taiga/houses/taiga_fisher_cottage_1|1e10250538e360342f4f368e53c9da1bcca16a698c0a8e4523548dba2d5158ef|food
minecraft:village/taiga/houses/taiga_fletcher_house_1|c89935ecbc1fee669c3990c06f3acd7f27d6471dff66d31a17e0b6f03f5cbe09|trade
minecraft:village/taiga/houses/taiga_large_farm_1|74f2d42dd54e686920320b7e80b48aa670287defaba35d83289ff1f66aff7974|food
minecraft:village/taiga/houses/taiga_large_farm_2|fa9a9a7f0ccc1211d6c5a076052a65ef2e35e9df08fb0cf9e24f7452bd0defe9|food
minecraft:village/taiga/houses/taiga_library_1|b71f7a6c859e3454540e0c62b23c63150dc53a5207a69cd6b2c7299bd6601a18|trade
minecraft:village/taiga/houses/taiga_masons_house_1|8ef9ac3fbae1ea58c3a2ccda697f46aacbdb228d3f6ffe40cc652daeec53b5f4|craft
minecraft:village/taiga/houses/taiga_medium_house_1|7d262bb01e9a531e5242c52e62f6fbc1c64ac64c491c97e57675122f6d570116|residence
minecraft:village/taiga/houses/taiga_medium_house_2|dd2b70978fbd14acc33901cfb663b7c9720c0cab4a6e13a6a7dbf40cae801632|residence
minecraft:village/taiga/houses/taiga_medium_house_3|86010eaf1dbc1dff648cc8d88c48ccc0cf1de5d925e16cc98fba8b262ebbc77f|residence
minecraft:village/taiga/houses/taiga_medium_house_4|e3733cf7f2313307cc4bfcfb102c9df72cb4c55566fb10ddd8edfc2e1745760f|residence
minecraft:village/taiga/houses/taiga_shepherds_house_1|77309b631db47563a364bed3ef5925739ce15aab04bee3894e25acb5ca6308ab|food
minecraft:village/taiga/houses/taiga_small_farm_1|be9705a29541cf14ef1be1363bf6b319ca3be8c772e6d68fa24f42cbec1e5a91|food
minecraft:village/taiga/houses/taiga_small_house_1|0eecad018c581504f31a5c88ad3405db3ebe85a4e10f8a5289f8336b58996f31|residence
minecraft:village/taiga/houses/taiga_small_house_2|962438db26b8efaa1b7893a4d1270c13bf76bb918079e6c7c93edf6b67784058|residence
minecraft:village/taiga/houses/taiga_small_house_3|f9ed709f9c8e4c2f5f339f2b3d7f86d9b2ed61639d7612db4e468dee20d8b4b2|residence
minecraft:village/taiga/houses/taiga_small_house_4|03b8a37998a566608a17749cec6007e1292ae1f611ce1052912da546d3b998c8|residence
minecraft:village/taiga/houses/taiga_small_house_5|9130b7da2b852f0d365daa2ba0ebd368d3b5988036d581d216b0bd9e445d2e64|residence
minecraft:village/taiga/houses/taiga_tannery_1|ab0391a03093fde1d61484908e6dbd04f26fa4e7df85dc1abe70079086364d59|trade
minecraft:village/taiga/houses/taiga_temple_1|d4f930f6c7c86ba7628cd472f9691bf7d5c4862091fdf3fe7f54810200abf2bc|civic
minecraft:village/taiga/houses/taiga_tool_smith_1|3bdad1122abc9fcd4fe6b6a69284532005323574d3ebee3b3e101b4afb768715|craft
minecraft:village/taiga/houses/taiga_weaponsmith_1|fe30834dc43e393224bfcce0d286e1ad022f7479ea81b4dd98b38ea1691256b7|craft
minecraft:village/taiga/houses/taiga_weaponsmith_2|9354260c3c377006ac882aa6cf3483796317f194dddbd23000e2878b7e4e810a|craft
